orig_idx,Name,SMILES,SMILES_std,InChIKey,CHEMBL2047_prediction,CHEMBL2047_probability,CHEMBL2047_label@0.5,CHEMBL239_prediction,CHEMBL239_probability,CHEMBL239_label@0.5,CHEMBL235_prediction,CHEMBL235_probability,CHEMBL235_label@0.5,CHEMBL1947_prediction,CHEMBL1947_probability,CHEMBL1947_label@0.5,CHEMBL3351_prediction,CHEMBL3351_probability,CHEMBL3351_label@0.5,CHEMBL5853_prediction,CHEMBL5853_probability,CHEMBL5853_label@0.5,CHEMBL4158_prediction,CHEMBL4158_probability,CHEMBL4158_label@0.5,CHEMBL3247_prediction,CHEMBL3247_probability,CHEMBL3247_label@0.5,CHEMBL5080_prediction,CHEMBL5080_probability,CHEMBL5080_label@0.5,CHEMBL2083_prediction,CHEMBL2083_probability,CHEMBL2083_label@0.5,bayes_score,weighted_sum,main_score,rank,calibrated_prob,TA,priority,TA_weighted,cluster_id,div_score,is_medoid,risk_level,risk_tags,pains_hits,brenk_hits,MW,LogP,TPSA,HBA,HBD,RotB,AromRings,DTXSID,hts_red_flag,reg_sources,food_grade,CAS,chrono_window,suggested_form,murcko_scaffold,scaffold_id,moa_cluster_id,moa_is_medoid,total_activity,weighted_score
19,Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,0,0.0,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9911634887005648,0.2613942695722356,0.2613942695722356,20,1,3,High,2.6139426957223564,3,0.9530581835176636,False,green,,0,0,286.239,2.282400000000001,111.13,6,4,1,3,DTXSID7020768,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2ccccc12,12,3,False,3,2.6139426957223564
20,Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,CWVRJTMFETXNAD-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.1764705882352941,Не активен,0,0.5,Не активен,0,0.1111111111111111,Не активен,0,0.1979779267389308,Не активен,0,0.0508474576271186,Не активен,0,0.3026101794152436,Не активен,1,0.6,Активен,1,0.6479511564344203,Активен,0.9726373944423348,0.2586968419562119,0.2586968419562119,21,1,3,High,2.586968419562118,3,0.9557761592358724,False,yellow,"michael_acceptor,catechol",0,0,354.31100000000004,-0.6459000000000001,164.75,9,6,4,1,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,O=C(C=Cc1ccccc1)OC1CCCCC1,14,5,True,3,2.586968419562118
21,Conjugated linoleic acid (CLA),CCCCCCC=CC=CCCCCCCCC(=O)O,CCCCCCC=CC=CCCCCCCCC(=O)O,JBYXPOFIGCOSSB-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,1,0.5238095238095238,Активен,0,0.1428571428571428,Не активен,0,0.1111111111111111,Не активен,0,0.0,Не активен,1,0.690228257060784,Активен,0,0.066724452628763,Не активен,0,0.5,Не активен,0,0.3726949240316246,Не активен,0.970101173696998,0.2498617174788273,0.2498617174788273,22,1,3,High,2.498617174788273,3,0.9510629080642582,False,yellow,,0,0,280.4519999999999,5.884500000000006,37.3,2,1,14,0,DTXSID6041006,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,,2,4,False,3,2.498617174788273
22,Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9899011299435028,0.2488942695722356,0.2488942695722356,23,1,3,High,2.4889426957223564,3,0.9528010288399948,False,green,,0,0,270.23999999999995,2.5768000000000018,90.9,5,3,1,3,DTXSID6022391,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2ccccc12,12,3,False,3,2.4889426957223564
23,Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9899011299435028,0.2488942695722356,0.2488942695722356,24,1,3,High,2.4889426957223564,3,0.9530581835176636,False,green,,0,0,270.23999999999995,2.576800000000001,90.9,5,3,1,3,DTXSID5022308,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1c(-c2ccccc2)coc2ccccc12,15,3,False,3,2.4889426957223564
24,Hesperetin,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,AIONOLUJZLIMTK-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.4247172078901275,Не активен,0,0.2671585392506439,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,1,0.5919472251691366,Активен,0.993684426690314,0.2863957431321588,0.2863957431321588,25,1,2,Med,2.8639574313215883,3,0.9552363441522084,False,green,catechol,0,0,302.2819999999999,2.518500000000002,96.22,6,3,2,2,DTXSID80274404,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=C1CC(c2ccccc2)Oc2ccccc21,16,6,True,2,2.8639574313215883
25,Dihydromyricetin,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,O=C1c2c(O)cc(O)cc2OC(c2cc(O)c(O)c(O)c2)C1O,KJXSIXMJHKAJOD-UHFFFAOYSA-N,0,0.0,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.4199725062614752,Не активен,0,0.1111111111111111,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,1,0.520198869868652,Активен,0.9912562415301318,0.2665225182963595,0.2665225182963595,26,1,2,Med,2.665225182963595,3,0.953548394375892,False,green,catechol,0,0,320.253,0.8919000000000001,147.68,8,6,1,2,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=C1CC(c2ccccc2)Oc2ccccc21,16,6,False,2,2.665225182963595
26,Naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,FTVWIRXFELQLPI-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.4680176807654088,Не активен,0,0.4043817236860563,Не активен,0,0.1111111111111111,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.6,Активен,1,0.5916766608200188,Активен,0.9594558482137908,0.2297463205438285,0.2297463205438285,27,1,2,Med,2.297463205438285,3,0.953548394375892,False,green,,0,0,272.256,2.5099000000000022,86.99000000000001,5,3,1,2,DTXSID50274239,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_morning_postpr,powder+chew,O=C1CC(c2ccccc2)Oc2ccccc21,16,6,False,2,2.297463205438285
27,Piperine,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,MXXWOMGUGJBKIW-UHFFFAOYSA-N,0,0.1595855857563166,Не активен,0,0.1666666666666666,Не активен,0,0.1764705882352941,Не активен,0,0.1428571428571428,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.125,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,1,0.585479992074103,Активен,0.9199520703921577,0.1965950085479633,0.1965950085479633,28,1,2,Med,1.9659500854796328,3,0.9546493845702384,False,yellow,"michael_acceptor,catechol",0,0,285.3430000000001,2.997200000000001,38.77,4,0,3,1,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,17,7,True,2,1.9659500854796328
28,Taurine,C(CS(=O)(=O)O)N,NCCS(=O)(=O)O,XOAAWQZATWQOTB-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.5,Не активен,0,0.2,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,0,0.1490312905578323,Не активен,0,0.5,Не активен,0,0.0,Не активен,0.9150145744698795,0.1907256020880123,0.1907256020880123,29,1,2,Med,1.907256020880123,3,0.9467066302688808,True,green,,0,0,125.149,-1.167099999999999,80.39,4,3,2,0,DTXSID3021304,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,,2,8,True,2,1.907256020880123
29,Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.6,Активен,0,0.0,Не активен,0.915280588103242,0.1801929330806552,0.1801929330806552,30,1,2,Med,1.801929330806552,3,0.9480774859597744,False,green,catechol,0,0,170.11999999999998,0.5016000000000003,97.99,5,4,1,1,DTXSID0020650,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,c1ccccc1,18,9,False,2,1.8019293308065518
30,Caffeic acid,C1=CC(=C(C=C1C=CC(=O)O)O)O,O=C(O)C=Cc1ccc(O)c(O)c1,QAIPRVGONGVQAS-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.125,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,0,0.0,Не активен,0.9023741151970952,0.1776081873179433,0.1776081873179433,31,1,2,Med,1.7760818731794334,3,0.9507361735135326,False,yellow,"michael_acceptor,catechol",0,0,180.159,1.1955999999999996,77.76,4,3,2,1,DTXSID5020231,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,c1ccccc1,18,9,False,2,1.7760818731794334
31,Sinapic acid,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,COc1cc(C=CC(=O)O)cc(OC)c1O,PCMORTLOPMLEFB-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.5477514999389335,Активен,0,0.0,Не активен,0.9042144326090888,0.1749680830745485,0.1749680830745485,32,1,2,Med,1.7496808307454854,3,0.9516825546757208,False,yellow,"michael_acceptor,catechol",0,0,224.212,1.5072,75.99,5,2,4,1,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,c1ccccc1,18,9,True,2,1.7496808307454854
32,Betaine,C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],KWIUHFFTVRNATP-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.5,Не активен,0,0.1467527685700309,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.2807426612543701,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,0,0.0929270569989954,Не активен,0.8870735585929937,0.172150436000283,0.172150436000283,33,1,2,Med,1.7215043600028297,3,0.9471803400023192,False,green,,0,0,117.14799999999998,-1.5574999999999983,40.13,3,0,2,0,DTXSID8022666,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,,2,8,False,2,1.7215043600028297
33,Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,0,0.0,Не активен,0.8941007351290525,0.1701929330806552,0.1701929330806552,34,1,2,Med,1.701929330806552,3,0.9489097092065438,False,green,,0,0,228.247,2.973800000000002,60.69,3,3,2,2,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,C(=Cc1ccccc1)c1ccccc1,19,9,False,2,1.701929330806552
34,Capsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,YKPUWZUDDOIDPM-UHFFFAOYSA-N,0,0.1686898326408873,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.2,Не активен,0,0.2351774751610722,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.5119592625620696,Активен,0,0.210562657864476,Не активен,0.9168792288168748,0.2023665257284195,0.2023665257284195,35,1,1,Med,2.023665257284195,3,0.9557761592358724,False,green,catechol,0,0,305.41800000000006,3.789600000000002,58.56,4,2,9,1,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,c1ccccc1,18,10,True,1,2.023665257284195
35,Pterostilbene,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,VLEUZFDZJKSGMX-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.4031466631628568,Не активен,0,0.0384615384615384,Не активен,0,0.2364301802606023,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,0,0.0,Не активен,0.9155407200175228,0.1966506174230011,0.1966506174230011,36,1,1,Med,1.9665061742300112,3,0.9510629080642582,False,green,,0,0,256.301,3.579800000000003,38.69,3,1,4,2,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,C(=Cc1ccccc1)c1ccccc1,19,11,True,1,1.9665061742300112
36,Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,COc1cc(C=CC(=O)O)ccc1O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.4863500920000825,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,0,0.5,Не активен,0,0.0,Не активен,0.8912097046835579,0.1688279422806635,0.1688279422806635,37,1,1,Med,1.6882794228066345,3,0.9525353206351406,False,yellow,"michael_acceptor,catechol",0,0,194.186,1.4986,66.76,4,2,3,1,DTXSID5040673,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_evening_postpr,shot+chew,c1ccccc1,18,9,False,1,1.6882794228066345
